seed,city,phase,policy_mode,n_episodes,throughput_mean,throughput_std,accept_rate_mean,accept_rate_std,latency_mean_mean,latency_mean_std,utilisation_mean,utilisation_std,actor_loss_mean,critic_loss_mean,entropy_mean
42,Tokyo_Small,train,MAPPO,50,0.0098,0.0013,0.0304,0.0014,1820.6542,109.9306,0.7505,0.0012,-0.0000,5.7522,0.5904
42,Tokyo_Medium,train,MAPPO,50,0.0023,0.0005,0.0193,0.0005,2128.6465,149.5338,0.7513,0.0007,-0.0001,8.4196,0.5987
42,Tokyo_Large,train,MAPPO,50,0.0006,0.0003,0.0170,0.0003,2415.7295,363.3250,0.7675,0.0004,-0.0001,13.7781,0.6066
42,Tokyo_Small,eval,MAPPO,15,0.0103,0.0014,0.0309,0.0016,1789.9855,111.9073,0.7507,0.0014,0.0000,0.0000,0.0000
42,Tokyo_Small,eval,Greedy,15,0.0096,0.0009,0.0302,0.0010,1776.2089,92.9402,0.7508,0.0010,0.0000,0.0000,0.0000
42,Tokyo_Small,eval,Random,15,0.0102,0.0014,0.0310,0.0014,1814.4938,111.2800,0.7521,0.0014,0.0000,0.0000,0.0000
42,Tokyo_Small,eval,InsertionGreedy,15,0.0105,0.0008,0.0312,0.0011,1709.9995,136.5793,0.7505,0.0013,0.0000,0.0000,0.0000
42,Tokyo_Medium,eval,MAPPO,15,0.0024,0.0004,0.0194,0.0005,2199.8594,116.3663,0.7516,0.0005,0.0000,0.0000,0.0000
42,Tokyo_Medium,eval,Greedy,15,0.0023,0.0004,0.0191,0.0004,2171.5396,297.3613,0.7516,0.0005,0.0000,0.0000,0.0000
42,Tokyo_Medium,eval,Random,15,0.0022,0.0004,0.0192,0.0004,2143.6240,148.7533,0.7525,0.0005,0.0000,0.0000,0.0000
42,Tokyo_Medium,eval,InsertionGreedy,15,0.0030,0.0004,0.0200,0.0004,1961.5668,157.0975,0.7517,0.0006,0.0000,0.0000,0.0000
42,Tokyo_Large,eval,MAPPO,15,0.0007,0.0003,0.0171,0.0004,2295.0078,289.4278,0.7674,0.0007,0.0000,0.0000,0.0000
42,Tokyo_Large,eval,Greedy,15,0.0007,0.0001,0.0172,0.0003,2210.2383,311.1455,0.7673,0.0005,0.0000,0.0000,0.0000
42,Tokyo_Large,eval,Random,15,0.0007,0.0004,0.0171,0.0004,2512.1985,290.8124,0.7688,0.0006,0.0000,0.0000,0.0000
42,Tokyo_Large,eval,InsertionGreedy,15,0.0013,0.0003,0.0178,0.0004,2060.8662,257.8626,0.7679,0.0010,0.0000,0.0000,0.0000
42,Tokyo_Small,train,MAPPO,50,0.0221,0.0040,0.9980,0.0016,1575.1066,201.2438,0.6891,0.0544,-0.0014,90.9263,0.5668
42,Tokyo_Small,eval,MAPPO,15,0.0223,0.0054,0.9982,0.0012,1532.8853,143.7855,0.6858,0.0386,0.0000,0.0000,0.0000
42,Tokyo_Small,eval,Greedy,15,0.0093,0.0006,0.0300,0.0007,1809.7672,106.4640,0.7508,0.0010,0.0000,0.0000,0.0000
42,Tokyo_Small,eval,Random,15,0.0099,0.0015,0.0307,0.0014,1833.5085,103.8198,0.7522,0.0013,0.0000,0.0000,0.0000
